age,gender,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
21,Other,6.13,3.35,0.22,3.27,2.38,5.78,9.64,Good,2,18,20,20.15,35.05
17,Male,5.03,1.71,0.13,0.96,1.79,5.61,5.66,Poor,1,16,0,32.3,46.05
19,Male,3.78,2.97,1.34,3.22,2.83,7.79,14.35,Average,6,3,28,23.32,34.13
17,Female,3.42,1.68,1.88,1.78,3.12,6.17,3.66,Good,2,6,6,11.41,21.12
19,Male,2.16,0.83,1.6,3.52,0.24,4.5,7.02,Poor,7,3,14,19.45,38.75
19,Other,4.1,0.52,1.05,3.26,0.23,6.97,7.72,Average,7,8,0,29.02,21.95
16,Other,3.25,2.75,3.33,2.75,4.3,8.56,7.66,Average,10,9,9,32.8,31.86
22,Other,4.66,1.74,0.06,2.37,1.11,8.07,5.93,Good,7,21,0,36.89,55.86
19,Male,3.99,0.86,1.46,2.43,2.08,8.18,8.83,Poor,9,10,17,25.11,33.54
23,Male,5.44,2.19,3.52,3.63,1.6,5.44,8.98,Average,3,12,27,22.58,51.72
16,Male,0.23,1.63,0.38,2.09,0.09,6.93,7.63,Good,9,8,0,8.09,15.59
17,Other,5.2,2.57,1.51,3.18,2.96,6.87,7.69,Average,9,5,15,29.38,52.46
18,Female,2.17,3.78,2.68,1.67,0.49,8.2,7.03,Average,9,7,0,21.42,32.31
20,Male,2.71,2.36,2.69,0.63,2.26,6.57,4.62,Poor,10,8,0,28.08,43.02
20,Female,2.59,3.96,2.67,1.32,2.02,6.14,5.94,Poor,7,19,22,31.74,32.64
23,Female,5.0,1.85,1.61,3.86,1.5,4.7,8.15,Average,4,17,20,22.08,52.81
20,Other,4.71,3.85,2.11,1.91,3.46,5.08,6.81,Average,9,25,19,27.35,47.78
21,Male,2.66,2.75,2.65,3.55,2.26,7.12,5.47,Poor,1,15,13,11.32,16.34
18,Male,5.64,0.59,3.67,2.01,2.77,6.73,6.34,Average,10,27,28,37.91,56.43
19,Other,5.45,2.93,2.38,0.83,1.27,7.05,8.51,Poor,8,28,0,47.32,54.78
19,Female,4.7,2.89,2.59,1.17,2.01,8.03,11.25,Poor,1,15,13,19.73,27.41
22,Male,2.52,3.4,1.08,1.78,2.74,5.09,3.25,Good,8,6,2,21.53,22.7
18,Male,5.82,1.6,2.99,1.59,0.72,6.51,6.05,Average,3,5,0,25.33,38.49
22,Female,5.98,0.65,2.95,1.98,3.76,7.34,8.28,Good,9,12,11,26.73,44.19
18,Female,6.29,1.53,2.06,0.31,0.29,6.16,5.57,Poor,4,22,11,34.96,53.68
19,Other,5.07,0.84,1.57,2.38,2.71,5.68,5.14,Good,1,18,7,26.23,53.67
22,Male,4.35,2.23,0.38,4.67,2.52,7.51,8.18,Good,0,7,19,14.54,36.49
21,Other,7.16,3.96,1.55,5.9,2.61,5.69,2.9,Poor,4,23,15,29.44,45.76
20,Female,6.73,1.65,2.45,3.86,1.28,6.28,5.53,Good,6,17,3,34.28,39.34
21,Other,4.45,2.43,2.44,1.84,0.31,8.59,7.31,Average,6,16,11,33.79,38.52
19,Female,6.13,2.79,4.2,1.13,1.05,7.33,6.09,Average,3,26,4,28.08,45.51
19,Male,3.01,2.7,3.43,4.9,0.81,6.43,6.04,Poor,3,4,26,12.83,32.24
18,Female,7.17,2.07,3.33,4.69,2.39,7.7,3.31,Good,5,16,26,32.7,43.91
19,Female,5.63,3.07,2.49,1.8,0.72,7.06,7.01,Poor,1,12,4,13.32,28.79
17,Male,6.11,2.21,2.54,1.17,0.92,9.42,9.2,Poor,4,23,7,33.46,39.74
16,Female,5.72,1.68,1.05,2.95,0.02,4.0,3.79,Average,5,14,0,44.68,56.38
18,Female,5.1,1.86,2.12,2.89,2.53,8.2,8.87,Good,3,15,26,27.0,17.35
25,Female,1.66,4.84,1.15,2.76,0.58,6.95,7.03,Good,1,14,7,8.18,6.8
16,Other,5.78,3.0,2.11,5.38,3.35,7.34,3.97,Average,10,23,18,24.26,47.0
20,Male,6.21,1.72,3.08,3.47,2.27,7.61,9.2,Good,8,17,29,34.53,47.92
18,Male,3.69,1.54,0.41,1.67,1.7,5.91,7.19,Average,2,19,3,17.69,26.16
16,Male,1.6,2.75,1.31,1.77,1.64,5.22,1.0,Good,5,0,0,20.18,16.04
19,Male,7.08,2.32,0.69,3.58,3.71,5.61,5.23,Good,9,36,11,48.18,56.73
16,Other,5.9,1.41,2.17,1.8,2.56,7.99,4.32,Good,7,21,6,35.38,36.65
19,Other,6.09,3.04,2.14,2.91,0.73,8.95,10.87,Good,4,28,0,34.95,35.61
20,Female,5.45,3.43,4.78,2.07,2.73,7.05,8.03,Poor,3,18,27,21.03,42.96
22,Male,5.26,3.59,3.42,2.76,0.51,5.91,9.45,Average,6,13,17,32.4,41.83
19,Female,5.88,4.3,2.19,3.88,0.47,6.18,3.93,Good,10,19,7,26.42,39.66
23,Female,4.66,2.97,1.28,3.31,0.16,8.52,4.5,Average,9,14,1,41.72,56.14
16,Female,4.71,2.29,2.04,4.16,1.92,6.38,3.93,Good,2,16,4,11.13,28.95
21,Male,0.84,2.63,3.39,0.3,1.76,8.84,5.2,Good,9,10,2,24.69,29.42
17,Other,5.05,2.56,4.03,1.46,2.77,7.76,7.22,Average,0,14,25,28.49,24.97
16,Other,5.73,3.73,1.54,6.97,0.68,4.88,4.49,Good,5,27,12,28.57,30.18
21,Female,2.83,1.57,0.53,3.04,1.74,5.97,0.23,Good,5,2,4,17.09,32.41
20,Other,3.62,3.05,1.92,4.81,0.26,7.02,2.84,Average,1,8,12,0.74,7.83
19,Other,3.83,2.22,1.94,3.41,1.72,7.78,7.7,Average,6,8,17,16.13,32.52
22,Other,2.99,1.8,3.49,4.28,1.3,6.96,10.09,Good,2,8,25,8.65,30.81
17,Other,0.87,2.1,4.33,2.59,1.99,7.85,10.26,Good,1,8,20,6.16,8.99
22,Male,0.72,4.64,2.43,2.03,3.49,5.43,8.28,Average,1,0,22,2.32,8.22
18,Female,3.69,1.46,1.01,4.24,0.7,6.15,7.23,Poor,7,3,8,27.47,36.6
17,Female,6.64,1.82,4.46,2.54,1.02,7.58,4.34,Good,0,17,22,18.25,54.01
17,Male,2.73,1.27,0.05,4.57,1.04,5.31,11.09,Poor,1,6,21,7.11,2.7
21,Female,2.0,1.53,1.56,3.65,0.07,7.37,10.99,Average,5,5,24,21.48,19.25
18,Other,4.06,2.34,2.42,1.54,2.16,8.35,9.71,Good,6,14,0,23.3,33.2
21,Female,6.39,1.63,2.53,2.71,1.18,7.63,13.49,Average,5,16,23,35.86,45.73
24,Male,0.59,1.91,1.16,4.36,0.76,7.24,9.27,Good,6,0,9,1.64,1.59
24,Other,2.04,3.43,1.31,1.37,2.91,8.63,4.43,Poor,6,12,0,12.03,12.74
21,Other,6.42,3.45,1.0,2.23,0.25,7.56,6.89,Average,7,18,6,41.6,40.51
22,Other,7.39,1.45,0.09,0.49,2.77,5.85,4.23,Good,6,24,7,40.6,55.9
19,Male,3.61,3.62,1.51,3.06,2.77,6.66,8.59,Average,4,14,18,22.99,34.91
16,Male,0.64,3.0,0.22,2.93,2.17,7.05,6.76,Poor,7,0,9,16.39,6.14
21,Other,3.16,3.18,1.41,3.59,3.03,7.98,6.77,Good,8,10,16,23.64,36.66
23,Other,4.2,2.29,0.97,4.45,1.06,7.02,5.56,Poor,2,15,7,19.6,19.09
16,Female,0.45,0.35,2.67,3.32,2.72,5.42,9.26,Average,2,1,29,1.38,0.0
22,Male,6.19,2.04,1.5,3.78,0.93,8.63,4.38,Poor,1,14,13,23.82,37.37
20,Female,4.74,3.22,1.22,4.78,0.87,3.92,4.26,Average,2,17,8,13.58,26.91
18,Other,4.44,0.06,1.26,2.72,0.78,8.76,4.95,Poor,3,13,2,20.54,40.08
18,Other,5.56,3.33,2.09,3.17,0.76,8.68,5.56,Poor,8,17,3,34.98,61.85
24,Male,2.95,0.99,0.49,2.44,1.69,7.7,10.1,Poor,6,7,17,24.38,29.96
18,Female,3.71,1.63,1.98,2.39,1.92,6.82,1.71,Good,0,21,0,24.74,38.46
15,Other,4.32,2.04,4.75,3.03,1.41,8.17,4.51,Poor,4,9,21,31.29,45.14
20,Other,0.45,4.06,0.24,0.61,1.19,5.57,4.29,Average,2,8,8,7.55,11.4
20,Female,4.81,1.33,3.07,2.66,4.31,7.84,5.58,Poor,5,22,23,37.01,60.85
19,Male,3.02,4.1,0.08,2.83,1.84,6.05,5.53,Average,10,14,1,20.63,45.64
21,Male,4.91,0.67,3.32,3.52,1.26,7.4,8.01,Good,7,11,10,23.33,43.78
17,Male,6.78,0.32,3.34,1.65,0.84,8.37,1.65,Average,0,28,0,36.94,67.28
22,Female,3.76,0.34,2.51,1.47,3.24,6.8,3.1,Poor,6,2,12,25.7,36.61
19,Male,4.76,1.87,3.44,2.41,1.52,7.83,8.75,Good,6,14,24,23.08,39.83
15,Male,1.78,2.71,3.75,0.91,0.02,5.51,3.72,Good,10,1,33,15.75,27.69
25,Other,5.56,2.6,0.14,1.69,0.24,6.21,10.43,Poor,6,29,7,36.65,38.96
16,Other,4.91,2.45,2.99,1.03,1.21,7.06,8.59,Good,6,17,15,34.64,46.24
21,Other,3.62,1.31,2.22,5.58,1.97,4.65,8.58,Good,5,5,24,14.79,32.67
18,Male,0.46,2.99,1.74,2.95,0.15,6.61,2.5,Average,0,7,17,1.25,0.87
18,Other,5.17,1.09,2.0,3.42,2.5,7.47,6.54,Good,4,16,24,28.02,32.84
20,Other,5.33,0.32,0.06,2.57,0.24,8.03,3.86,Average,6,20,0,21.13,48.42
18,Other,3.39,1.61,3.5,4.64,0.79,7.08,5.78,Good,5,21,35,13.58,16.37
17,Male,1.37,1.83,2.13,2.5,0.25,6.96,5.06,Poor,2,8,0,16.47,8.17
19,Male,3.41,0.46,2.99,0.34,0.68,9.06,7.78,Average,6,10,5,38.76,41.47
21,Male,2.77,1.47,3.31,2.8,0.68,8.16,9.59,Good,7,16,5,11.87,16.34
23,Male,5.24,1.7,1.53,1.83,2.79,8.19,9.14,Good,7,23,5,27.73,43.82
21,Other,4.97,1.64,2.35,4.23,1.85,9.65,9.15,Poor,2,16,15,17.01,21.69
23,Male,8.95,0.65,1.72,5.65,3.29,7.16,1.24,Poor,8,20,10,39.0,48.73
21,Female,2.43,4.35,1.67,2.98,0.78,8.71,5.78,Average,9,5,14,18.61,17.93
16,Female,4.61,1.82,3.07,3.03,0.87,6.28,1.94,Average,7,13,13,23.12,37.79
24,Other,2.67,3.02,1.08,3.74,2.11,7.29,4.0,Poor,0,12,5,2.33,14.52
21,Male,4.04,0.07,4.27,1.68,2.65,5.88,8.24,Poor,6,6,31,20.05,46.01
19,Female,9.4,2.29,1.92,2.94,1.37,9.21,8.11,Poor,6,36,0,41.28,70.1
22,Male,6.6,2.47,1.68,3.37,1.28,4.12,4.21,Good,9,13,11,45.86,39.09
17,Male,3.74,2.31,1.0,3.02,1.06,7.58,3.95,Average,3,3,0,14.78,28.24
16,Other,4.4,1.61,2.06,2.65,1.55,5.97,8.99,Good,6,14,5,31.12,51.99
17,Female,5.56,4.48,1.54,1.43,0.02,6.98,5.95,Good,5,11,0,28.83,41.91
16,Male,6.09,2.39,1.4,3.9,0.64,6.83,9.06,Poor,10,23,9,36.29,53.96
18,Male,5.86,2.03,2.57,4.13,2.78,10.11,7.49,Poor,2,23,7,34.41,35.3
20,Other,4.66,0.88,3.45,2.06,1.34,5.76,7.54,Good,6,12,1,20.92,32.69
18,Other,3.28,2.1,2.44,1.91,2.65,9.23,11.09,Good,4,10,14,14.13,22.99
19,Male,4.41,0.34,1.27,3.87,1.34,7.34,5.25,Poor,7,8,8,37.11,36.61
18,Other,6.36,0.58,2.11,5.67,1.32,6.75,0.34,Average,10,22,20,37.72,42.8
19,Male,8.36,3.78,0.96,7.45,0.33,7.06,6.78,Good,1,26,14,33.88,46.5
17,Male,3.72,0.81,0.34,0.62,2.36,6.31,2.24,Poor,7,13,0,20.18,45.44
18,Female,7.71,1.41,1.38,1.6,1.69,7.2,6.75,Average,2,28,4,36.86,68.5
17,Female,4.08,2.88,1.85,1.18,0.16,7.07,9.67,Good,3,19,0,25.08,35.88
23,Male,1.53,2.66,1.06,3.88,2.27,7.05,1.28,Poor,6,4,1,19.02,31.92
22,Male,6.74,3.44,2.84,5.58,1.8,6.15,10.98,Average,9,19,45,32.88,43.38
17,Female,5.04,1.68,0.47,2.12,1.04,8.26,5.52,Good,0,34,0,40.62,39.05
19,Female,3.25,1.62,0.22,2.91,2.42,6.37,8.72,Good,9,0,7,18.09,33.95
23,Other,4.14,3.37,1.43,1.71,2.87,4.47,4.57,Poor,6,16,7,22.32,43.36
20,Male,3.04,1.49,2.57,6.02,0.66,6.13,6.5,Good,8,2,38,11.87,32.58
16,Other,0.58,0.63,1.04,1.82,2.68,6.08,9.82,Average,1,5,11,0.73,0.0
19,Female,4.58,2.08,4.1,2.2,2.61,4.44,9.47,Poor,8,23,32,29.73,48.9
16,Other,4.0,0.34,2.96,1.23,0.04,4.33,3.44,Poor,0,12,19,8.02,14.83
21,Female,2.69,0.96,3.92,1.79,0.21,4.81,5.3,Average,7,13,16,17.78,37.45
22,Male,5.7,1.68,0.92,3.33,2.14,6.54,7.84,Average,2,23,20,27.9,32.35
19,Female,4.65,4.48,1.37,2.68,1.32,8.53,5.51,Good,2,20,1,29.85,46.04
21,Other,6.77,2.75,1.89,1.57,2.59,9.31,7.44,Average,8,27,0,42.61,59.44
17,Male,2.06,0.06,2.24,1.79,1.06,8.66,3.91,Good,7,7,0,22.4,21.11
16,Female,3.79,1.61,2.01,4.59,0.6,5.04,6.91,Good,5,7,24,12.5,33.92
17,Female,2.52,5.56,1.53,5.06,0.37,3.59,4.48,Good,6,16,37,16.21,37.98
19,Male,2.4,2.79,1.17,2.93,1.88,6.82,5.38,Average,7,2,5,26.64,23.84
22,Male,3.18,3.05,0.19,4.55,0.25,5.87,8.96,Good,8,8,21,14.84,38.02
19,Male,3.45,0.7,2.41,1.72,0.19,8.31,4.53,Poor,1,8,8,20.1,30.85
16,Other,4.28,0.08,1.02,3.6,2.97,9.16,6.22,Average,6,5,0,20.14,7.22
18,Female,2.47,3.11,3.09,0.36,1.74,6.56,6.53,Good,2,17,5,17.58,28.99
19,Other,8.55,0.47,1.38,4.3,2.62,5.99,7.45,Average,1,32,28,43.51,47.3
20,Female,5.39,2.0,1.92,1.24,1.35,5.83,6.45,Poor,0,19,20,17.15,31.53
21,Female,2.06,2.26,2.06,0.61,2.48,7.89,2.08,Good,9,0,1,27.21,32.07
22,Male,3.93,0.7,1.58,3.96,2.36,4.45,11.64,Good,6,13,19,20.53,16.95
16,Female,1.72,0.7,3.67,4.15,2.26,4.7,7.37,Poor,1,7,23,0.81,8.46
17,Male,3.95,1.55,0.32,2.57,1.5,7.61,5.39,Poor,4,10,13,17.14,28.56
17,Other,2.43,0.66,1.55,6.09,0.38,6.12,6.7,Poor,10,0,23,27.17,17.9
23,Female,4.66,3.59,4.18,3.39,2.0,6.71,6.83,Poor,0,14,29,18.11,44.2
15,Other,2.93,1.62,3.9,6.2,2.43,7.89,8.75,Poor,10,2,45,7.8,23.54
17,Female,2.91,1.93,1.67,1.65,1.5,7.47,0.52,Good,9,9,0,23.88,27.04
18,Other,3.89,0.63,1.44,3.97,1.52,5.54,9.1,Average,7,4,21,18.31,29.94
16,Female,7.14,1.73,2.56,3.34,1.21,10.61,5.01,Good,2,27,20,29.63,43.1
18,Male,2.65,0.89,3.18,5.03,2.37,7.96,2.49,Good,5,0,5,19.63,6.28
24,Female,5.42,0.96,0.82,2.03,2.27,8.59,7.26,Average,1,19,0,28.69,48.05
22,Female,6.34,0.17,0.44,6.49,2.37,9.12,10.89,Poor,1,13,22,17.7,24.61
16,Female,4.82,3.39,0.29,3.42,0.75,8.94,8.01,Good,3,18,0,18.83,39.09
18,Female,5.64,3.45,2.47,1.34,0.51,7.28,11.76,Poor,3,15,19,27.18,36.58
18,Other,4.13,0.34,3.22,2.24,3.78,6.3,7.13,Average,1,9,18,17.51,30.55
16,Male,5.98,3.81,4.81,1.14,0.12,5.84,5.88,Poor,2,24,26,27.16,44.8
22,Male,5.48,2.11,1.56,3.16,0.7,8.66,7.96,Average,6,12,1,28.02,34.47
20,Male,4.84,2.19,1.17,2.4,1.9,6.94,8.89,Good,6,19,38,26.95,36.16
22,Female,3.0,3.5,0.6,2.12,1.73,6.94,9.55,Poor,4,8,7,25.87,29.32
22,Male,6.63,0.8,0.74,3.31,0.22,6.47,5.38,Average,4,24,0,36.2,49.43
18,Female,5.21,2.56,3.96,3.02,0.42,6.94,7.98,Good,3,19,0,21.09,45.17
18,Male,6.17,3.16,1.9,4.44,3.11,6.13,6.7,Good,2,15,0,30.36,44.0
19,Other,4.66,1.28,3.09,3.22,1.71,7.56,8.85,Poor,0,13,15,21.02,35.36
19,Female,1.29,3.22,2.41,1.47,1.49,6.88,10.11,Poor,4,6,24,14.67,16.65
18,Male,7.3,2.87,0.99,2.28,4.32,6.97,2.95,Poor,1,17,0,28.35,39.37
17,Other,5.75,1.41,2.34,1.5,0.43,5.96,9.74,Average,6,12,19,32.49,50.65
22,Male,4.84,0.3,1.5,4.28,1.77,5.51,5.44,Poor,6,21,9,28.35,29.13
19,Male,2.11,2.39,0.86,1.68,2.58,8.17,7.88,Poor,0,4,2,5.49,8.53
20,Male,6.46,2.62,0.65,1.6,4.05,5.59,3.09,Poor,2,22,10,27.11,38.69
19,Female,5.88,3.47,2.07,3.37,0.97,4.64,4.84,Good,4,28,15,34.84,45.22
22,Male,2.69,2.94,1.46,2.16,1.35,5.93,5.45,Poor,9,5,0,16.94,28.05
21,Female,7.97,1.48,1.46,1.82,1.14,7.33,8.06,Good,4,30,5,50.69,49.39
19,Female,5.02,1.84,1.14,3.57,2.32,8.72,6.2,Average,7,7,0,32.17,27.38
18,Male,1.93,1.26,2.49,1.83,1.75,5.94,5.21,Good,5,10,1,18.45,13.48
25,Other,3.97,3.56,1.42,3.42,1.91,6.33,9.17,Good,9,13,24,35.2,39.97
18,Female,4.66,3.48,3.96,4.05,0.11,9.14,2.21,Good,4,27,28,39.87,51.99
19,Male,2.39,2.02,2.55,2.17,0.98,8.75,8.36,Good,3,1,7,20.11,38.18
21,Female,6.43,3.03,0.61,3.15,0.78,9.81,1.89,Poor,5,31,0,32.29,56.3
24,Male,4.25,1.33,0.31,3.48,0.95,6.82,14.37,Average,1,10,2,20.08,21.99
18,Female,5.26,2.73,0.94,0.5,1.85,6.43,4.74,Poor,3,5,1,22.94,33.81
20,Female,4.76,0.67,2.45,5.17,1.21,8.46,4.33,Average,2,9,20,23.97,22.66
17,Other,1.82,1.76,1.55,0.47,0.66,8.66,6.73,Average,3,2,0,12.96,10.55
22,Other,5.6,1.95,3.41,5.36,3.42,6.62,6.44,Good,6,7,29,20.08,33.86
17,Male,5.12,2.39,2.67,2.73,1.88,7.11,1.85,Average,2,18,1,25.79,32.14
20,Other,2.9,2.33,1.86,0.86,1.58,5.53,10.81,Average,2,8,12,9.84,27.98
18,Male,5.11,3.17,2.73,2.58,2.11,7.56,5.8,Average,4,14,30,30.26,40.09
20,Female,5.23,1.4,1.27,2.5,1.29,5.42,4.45,Average,10,19,17,31.38,42.1
16,Other,0.1,2.37,1.31,1.18,1.68,6.15,4.33,Poor,8,5,3,13.33,11.19
17,Male,4.47,0.55,1.41,1.96,1.95,9.32,8.07,Good,5,5,0,10.96,31.6
19,Male,5.73,0.83,2.76,3.41,0.66,6.23,9.73,Poor,1,25,17,30.34,51.73
20,Male,5.53,2.97,1.82,3.31,2.69,6.61,10.84,Poor,1,7,19,21.47,42.35
19,Other,4.67,2.14,0.72,4.34,2.53,5.79,4.08,Poor,9,11,3,33.36,32.2
19,Male,4.12,3.0,1.26,3.63,0.72,5.62,2.33,Poor,3,17,1,20.53,24.49
18,Female,6.28,1.6,0.23,4.21,2.28,4.85,3.01,Good,9,0,16,31.45,42.95
19,Other,5.39,2.13,2.6,6.72,3.29,6.19,9.4,Average,7,14,34,38.59,61.35
21,Other,2.76,0.85,2.43,5.31,1.56,6.7,7.95,Average,1,3,18,2.58,6.76
16,Female,4.73,2.6,2.3,1.32,2.47,7.97,2.28,Good,0,13,1,18.76,27.73
22,Female,4.83,2.42,1.78,2.2,0.87,7.32,7.64,Good,2,18,4,28.25,27.55
18,Other,5.26,1.14,3.92,3.67,1.08,8.69,7.02,Good,4,15,16,21.92,32.64
19,Female,4.44,1.69,0.23,1.35,1.3,4.67,7.1,Average,4,15,0,31.84,35.34
18,Other,2.42,0.49,1.48,2.58,0.2,6.6,7.02,Poor,4,1,0,12.44,12.39
15,Female,3.24,1.63,3.32,1.12,2.4,5.67,8.69,Poor,5,16,26,28.41,30.28
20,Male,1.85,3.31,2.04,2.51,0.07,5.94,2.05,Good,9,9,0,26.06,33.97
15,Female,5.54,3.79,3.19,2.2,1.82,6.67,2.9,Average,1,19,19,24.75,39.5
17,Male,3.72,3.29,2.6,2.53,0.91,4.86,10.04,Average,2,14,29,12.24,31.2
20,Female,3.87,0.78,0.01,3.67,1.3,8.34,7.36,Poor,3,9,7,14.14,20.61
15,Male,3.86,0.93,1.31,3.81,0.14,8.94,3.36,Poor,8,11,0,29.0,32.54
22,Male,6.45,2.6,2.31,2.87,1.91,8.23,4.66,Poor,8,23,7,34.83,51.08
16,Female,4.11,3.69,3.41,2.07,1.02,7.06,6.08,Good,8,8,6,22.09,24.6
21,Male,4.27,3.41,2.16,4.59,0.99,3.6,5.6,Poor,9,3,25,29.8,31.21
17,Male,1.85,0.81,1.38,0.92,1.68,7.12,3.85,Poor,3,4,0,8.73,17.33
22,Female,3.98,1.58,0.08,3.66,0.46,8.59,7.82,Average,10,4,1,30.75,19.35
19,Female,3.28,1.78,1.08,2.93,2.54,5.62,9.89,Average,7,5,30,12.84,26.93
17,Female,6.88,0.11,1.71,6.29,1.17,7.89,8.99,Average,3,18,25,32.6,43.23
21,Male,7.16,3.03,2.47,3.25,1.87,8.3,7.56,Poor,1,21,17,28.87,41.62
17,Other,4.8,0.82,1.71,0.5,0.75,6.87,1.32,Poor,9,12,0,34.68,49.1
17,Male,3.29,3.31,0.97,5.11,0.47,6.72,5.23,Good,9,9,4,27.9,33.82
22,Other,0.22,2.93,2.54,1.01,1.76,7.93,5.14,Average,8,14,9,14.62,24.46
22,Male,10.19,0.02,3.24,4.1,0.85,8.7,5.96,Average,3,35,3,40.1,45.68
19,Male,5.76,3.91,1.47,4.16,1.34,5.43,9.77,Average,3,21,20,23.75,52.88
21,Male,2.02,2.15,3.18,4.13,1.49,6.18,6.34,Poor,9,8,16,15.42,29.01
20,Female,4.36,1.13,2.52,2.77,0.56,7.36,5.94,Good,1,15,5,19.53,25.39
22,Other,4.58,0.35,1.87,2.33,1.3,7.22,6.78,Poor,2,13,1,21.07,19.34
16,Other,3.68,1.01,0.53,4.15,1.72,6.58,4.52,Average,2,11,17,17.54,5.5
21,Male,7.23,2.18,1.37,3.96,3.06,6.23,3.2,Average,4,24,10,30.35,49.41
21,Other,5.37,0.34,4.92,3.22,1.53,5.24,9.09,Poor,3,5,60,26.66,27.47
20,Male,2.39,1.72,0.76,4.01,2.9,9.36,10.17,Average,3,9,17,18.91,25.71
17,Male,10.08,0.78,1.54,2.98,2.15,6.26,5.06,Average,6,17,14,53.55,74.81
19,Male,3.84,3.59,1.01,1.53,0.39,4.16,4.42,Average,7,22,0,23.25,36.3
20,Male,5.59,1.49,2.01,0.29,0.81,5.44,5.71,Good,1,12,2,35.86,38.95
20,Female,5.38,1.58,1.2,0.49,1.7,8.63,7.42,Poor,0,16,0,17.54,25.12
20,Female,6.21,2.18,1.83,2.21,1.67,5.57,3.07,Poor,7,15,1,27.07,54.75
15,Female,4.85,2.24,1.88,4.05,1.66,7.39,3.18,Poor,5,22,4,24.53,31.35
23,Other,0.7,1.51,1.02,4.34,1.28,7.01,6.18,Good,10,0,23,14.77,13.13
16,Female,4.23,0.21,1.77,2.44,2.43,6.01,2.44,Poor,9,12,6,27.63,39.84
21,Male,5.16,3.36,3.81,0.34,0.74,7.3,5.42,Average,5,21,2,41.29,62.51
21,Other,3.78,5.22,3.08,1.05,1.01,6.39,6.1,Poor,9,12,18,34.44,31.33
18,Male,4.01,2.67,1.86,4.28,1.22,7.23,8.01,Good,5,11,16,24.56,31.64
20,Female,4.63,1.89,2.64,3.53,0.84,8.01,0.19,Good,9,8,0,31.89,48.18
16,Other,4.19,3.87,3.41,1.77,1.78,8.14,8.05,Average,5,22,11,17.11,43.77
21,Female,3.09,3.45,3.79,4.31,2.25,8.07,5.29,Poor,8,12,25,21.92,29.37
22,Male,3.57,3.7,0.4,5.89,2.53,8.19,4.83,Good,3,10,22,15.69,23.7
19,Other,6.57,1.25,1.85,3.38,2.76,4.63,10.39,Good,4,17,26,32.57,57.41
23,Female,0.95,2.0,2.03,2.63,3.55,7.03,8.56,Average,3,0,7,7.79,9.89
16,Other,5.57,1.44,1.97,1.34,2.26,7.2,2.95,Good,5,24,0,32.55,58.29
23,Other,5.49,1.48,1.65,0.67,2.65,7.86,5.35,Poor,8,19,0,46.6,54.28
20,Female,2.91,0.88,4.42,2.88,0.19,6.42,14.78,Good,7,7,35,23.57,24.48
22,Female,5.51,2.77,1.24,3.42,2.63,6.43,5.34,Good,8,21,18,34.67,46.9
17,Female,4.12,1.42,1.06,3.86,1.11,7.9,5.66,Good,0,5,1,11.21,20.64
19,Other,7.14,2.21,0.98,6.68,2.58,6.41,11.07,Good,4,24,45,22.99,34.0
15,Other,4.57,1.05,1.57,3.24,3.14,7.72,4.78,Good,1,7,11,18.24,24.57
16,Other,6.37,0.06,0.51,2.49,1.37,6.82,4.93,Poor,4,15,9,38.69,48.44
22,Female,5.34,3.85,2.22,1.99,0.9,9.16,10.29,Poor,9,23,7,32.33,48.39
19,Male,6.3,0.77,2.67,1.2,2.14,7.04,3.42,Good,5,30,6,42.82,46.49
16,Other,7.01,1.99,4.38,2.58,1.55,6.71,10.13,Poor,2,25,9,37.48,33.77
18,Female,2.76,2.24,1.46,5.1,2.28,6.39,8.61,Good,9,3,31,13.46,29.98
16,Female,2.61,0.53,3.76,3.7,2.22,7.8,5.95,Poor,3,9,28,13.41,19.04
20,Female,5.31,0.71,2.29,1.07,0.06,5.81,1.35,Poor,6,14,0,42.09,61.48
19,Other,6.23,2.35,0.99,3.97,0.58,8.34,6.26,Poor,5,24,5,30.02,30.94
17,Male,6.91,3.42,1.02,2.9,0.3,9.29,4.32,Good,7,21,0,29.46,60.52
16,Other,3.9,0.27,3.51,2.62,2.48,6.92,4.67,Good,6,8,14,25.15,34.61
18,Male,3.39,2.43,3.13,3.6,1.39,6.0,5.21,Average,1,5,31,7.43,21.69
17,Female,7.19,2.14,1.78,1.82,1.31,8.47,12.51,Average,6,29,0,43.0,60.41
16,Other,4.73,2.85,2.21,5.59,2.18,4.55,0.56,Average,7,26,18,22.02,31.59
18,Other,5.15,1.21,1.61,2.87,1.87,8.19,11.43,Average,10,6,20,25.46,27.55
22,Female,5.07,0.23,1.87,2.3,0.4,7.35,4.17,Average,7,6,10,24.51,52.59
17,Male,2.17,1.3,3.38,6.63,0.24,6.99,6.74,Good,7,6,22,3.76,17.4
15,Other,3.91,1.78,3.33,4.18,1.71,7.94,5.31,Good,7,10,30,18.91,30.91
21,Male,4.95,5.36,0.31,0.27,1.77,4.68,5.23,Good,8,16,15,43.65,57.74
20,Male,6.87,4.72,1.77,0.35,2.48,7.71,3.33,Good,5,21,0,33.86,55.5
21,Other,1.82,1.05,3.24,1.01,3.76,6.26,9.62,Average,8,4,21,0.52,22.06
